"","score","text"
"47",0,"SCN Corporate Connect Episode 5: Secondary Markets &amp; Liquidity for ICOs
https://t.co/mwVVaL1bVE #wsj #nytimes https://t.co/rE5fUc4csX"
"48",0,"SCN Corporate Connect Episode 5: Secondary Markets &amp; Liquidity for ICOs
https://t.co/QpCAuRdtSW #wsj #nytimes https://t.co/NNlM4BshAw"
"49",0,"SCN Corporate Connect Episode 5: Secondary Markets &amp; Liquidity for ICOs
https://t.co/ZQe3QsGM2B #wsj #nytimes https://t.co/MDNsNZ3Dbe"
"50",0,"SCN Corporate Connect Episode 5: Secondary Markets &amp; Liquidity for ICOs
https://t.co/aPTdUAgI60 #wsj #nytimes https://t.co/8zElHKfMdP"
"51",0,"Steve Spagnuolo making a list and checking it at least twice https://t.co/SVgX46XQPY #NewsDay #NewYork #Sports #NewYorkCity #NYC #News"
"52",0,"Attorney - #NewYork , NY (https://t.co/W1ridvBOvM) Get Lawyer Jobs"
"53",1,"We've created a luxury rehab facility for both drug rehab and alcohol rehab in Malibu, https://t.co/p2IufVfHkl
#wsj https://t.co/pogYHLzYLY"
"54",1,"We've created a luxury rehab facility for both drug rehab and alcohol rehab in Malibu, https://t.co/4CDAlZCe8c
#wsj https://t.co/2jfsmosSMd"
"55",1,"We've created a luxury rehab facility for both drug rehab and alcohol rehab in Malibu, https://t.co/dkFidGX8wb
#wsj https://t.co/aufAQFTsTV"
"56",1,"We've created a luxury rehab facility for both drug rehab and alcohol rehab in Malibu, https://t.co/7xDsXHQBCc
#wsj https://t.co/nTvCpTXeN3"
"57",1,"We've created a luxury rehab facility for both drug rehab and alcohol rehab in Malibu, https://t.co/7GQL3n8VbW
#wsj https://t.co/F1CIpYy6cu"
"58",1,"We've created a luxury rehab facility for both drug rehab and alcohol rehab in Malibu, https://t.co/Z8CoRLty0e
#wsj https://t.co/GifZ4NOF6W"
"59",1,"We've created a luxury rehab facility for both drug rehab and alcohol rehab in Malibu, https://t.co/gaFgPI7Ov4
#wsj https://t.co/T6IRUJ00Hk"
"60",1,"We've created a luxury rehab facility for both drug rehab and alcohol rehab in Malibu, https://t.co/THBVfJPZSz
#wsj https://t.co/tBUc6JKxAZ"
"61",1,"We've created a luxury rehab facility for both drug rehab and alcohol rehab in Malibu, https://t.co/nQWwco6PLV
#wsj https://t.co/gQQJbLU57S"
"62",1,"We've created a luxury rehab facility for both drug rehab and alcohol rehab in Malibu, https://t.co/a9d94qJZI8
#wsj https://t.co/zjVQgJ8ShP"
"63",1,"he been doing this @HOT97 #reemdollars #bronx #newyork #uptown #ecg https://t.co/e6sOvuHKuG"
"64",0,".@YariGeeNY on #Periscope: Hi  #snow #newyork #love #cold #talk #walk https://t.co/nfDPpJ6bu5"
"65",1,"#NYC #NewYork See the world and make memories and find your Happy Place... life is too short not to experience An A https://t.co/cNaSLwN9OV"
"66",1,"We've created a luxury rehab facility for both drug rehab and alcohol rehab in Malibu, https://t.co/zA4tHcmeoh
#wsj https://t.co/t3wvAe72nD"
"67",1,"We've created a luxury rehab facility for both drug rehab and alcohol rehab in Malibu, https://t.co/2lPMFgBt6b
#wsj https://t.co/lqByZgBXSV"
"68",1,"We've created a luxury rehab facility for both drug rehab and alcohol rehab in Malibu, https://t.co/EBOMyW6OXD
#wsj https://t.co/IGntK9GEZc"
"69",1,"We've created a luxury rehab facility for both drug rehab and alcohol rehab in Malibu, https://t.co/w2BMjj6vKV
#wsj https://t.co/oGnvaEQFfI"
"70",1,"We've created a luxury rehab facility for both drug rehab and alcohol rehab in Malibu, https://t.co/H2htXBNjXm
#wsj https://t.co/5HoBjhO4M8"
"71",1,"We've created a luxury rehab facility for both drug rehab and alcohol rehab in Malibu, https://t.co/OFVghT08NM
#wsj https://t.co/97QE68F7uN"
"72",0,"SCN Corporate Connect Episode 5: Secondary Markets &amp; Liquidity for ICOs
https://t.co/nWjxtHOeGv #wsj #nytimes https://t.co/NXPsJDbIb3"
"73",0,"SCN Corporate Connect Episode 5: Secondary Markets &amp; Liquidity for ICOs
https://t.co/YcGl6ccee5 #wsj #nytimes https://t.co/vX1BTMwSuw"
"74",0,"SCN Corporate Connect Episode 5: Secondary Markets &amp; Liquidity for ICOs
https://t.co/trd8A3qA8B #wsj #nytimes https://t.co/qi6IaCZsu7"
"75",0,"SCN Corporate Connect Episode 5: Secondary Markets &amp; Liquidity for ICOs
https://t.co/v21B8XaIJ0 #wsj #nytimes https://t.co/QuGHKb1gQb"
"76",0,"SCN Corporate Connect Episode 5: Secondary Markets &amp; Liquidity for ICOs
https://t.co/icZJfTBRAU #wsj #nytimes https://t.co/xpotLCSPo3"
"77",0,"SCN Corporate Connect Episode 5: Secondary Markets &amp; Liquidity for ICOs
https://t.co/DrFg9UpHRn #wsj #nytimes https://t.co/45MWwqK7EQ"
"78",0,"Shattered #spadetattoo #coverup @danleytattoos @tattoowonderland #youbelongattattoowonderland #tattoowonderland https://t.co/4qLw7sjiBs"
"79",0,"@djvargasuntouch If you in #NewYork 
Tonight! CHLOES! 
RSVP early! Lets go! https://t.co/pRl8DJ9daT"
"80",-1,"#NewYork has one of the most expensive #Cannabis markets to enter. They also don't allow the use of #Cannabis flower https://t.co/0kpxNyPeSd"
"81",0,"Website hosted alongside #Google https://t.co/HuYmQEYjQY #wsj #nytimes #reuters #bloomberg #thestreet #jimmyfallon https://t.co/6HLU9ERJF9"
"82",-1,"Cloud Hosting Setup https://t.co/vRBR4P6YOk
#wsj #nytimes #reuters #bloomberg #thestreet #jimmyfallon #forbes https://t.co/FxZ0xmEj8c"
"83",0,"Website hosted alongside #Google https://t.co/prXmSr9Nv9 #wsj #nytimes #reuters #bloomberg #thestreet #jimmyfallon https://t.co/JXmmfrTga6"
"84",0,"Website hosted alongside #Google https://t.co/vRBR4P6YOk #wsj #nytimes #reuters #bloomberg #thestreet #jimmyfallon https://t.co/pvRU7xg4gi"
"85",0,"Website hosted alongside #Google https://t.co/ZTFyAMbt7b #wsj #nytimes #reuters #bloomberg #thestreet #jimmyfallon https://t.co/HD0LCx74bz"
"86",-1,"Cloud Hosting Setup https://t.co/Zjpwtkv7PK
#wsj #nytimes #reuters #bloomberg #thestreet #jimmyfallon #forbes https://t.co/7YZi1qCAwm"
"87",0,"Website hosted alongside #Google https://t.co/Zjpwtkv7PK #wsj #nytimes #reuters #bloomberg #thestreet #jimmyfallon https://t.co/sBztcS22OC"
"88",0,"Website hosted alongside #Google https://t.co/nXyKE1L6md #wsj #nytimes #reuters #bloomberg #thestreet #jimmyfallon https://t.co/ZMESyx7WVK"
"89",0,"Drug &amp; Alcohol Treatment Program https://t.co/RIEDJRnIKb 
#wsj #nytimes #reuters #bloomberg #thestreet #jimmyfallon https://t.co/tyUWzT7Y1J"
"90",-1,"Cloud Hosting Setup https://t.co/HuYmQEYjQY
#wsj #nytimes #reuters #bloomberg #thestreet #jimmyfallon #forbes https://t.co/9WJ5e1Rmlx"
"91",-1,"Cloud Hosting Setup https://t.co/prXmSr9Nv9
#wsj #nytimes #reuters #bloomberg #thestreet #jimmyfallon #forbes https://t.co/mDf1v3lzr6"
"92",-1,"Cloud Hosting Setup https://t.co/nXyKE1L6md
#wsj #nytimes #reuters #bloomberg #thestreet #jimmyfallon #forbes https://t.co/HLIWc67tSO"
"93",-1,"Cloud Hosting Setup https://t.co/ZTFyAMbt7b
#wsj #nytimes #reuters #bloomberg #thestreet #jimmyfallon #forbes https://t.co/2m1IM0MoGO"
"94",0,"The #comcast building disappearing in the snow #rockefellercenter #christmas #newyork https://t.co/TlWxZtCTKj"
"95",0,"It's Winter Wonderland in NYC. 
#snow #christmas #holidayseason #newyork #luxuryrealestate #brownstone https://t.co/qmdSTl7Svr"
"96",0,"Start saving money! Set TV 500+ channels only $20 https://t.co/AzWNgkOSdj #live #stream #nyc #brooklyn #manhattan https://t.co/pm9nrxiCZ5"
"97",-1,"#DougJones
@GDouglasJones

You might #GetAway with your #RADICAL #LeftWing agenda
in
#NewYork or #California
but
YO https://t.co/YBTxCdYxMj"
"98",2,"So fun being in the city last weekend...the best place to get in the holiday spirit! #newyork #nyc https://t.co/RqPMT7Q0LQ"
"99",0,"#NHL #NewYork #Rangers merchandise made with #upcycled #hockey #tradingcards https://t.co/6hKRkWYuQs 
#nhlrangers https://t.co/hlY11qZTdS"
"100",0,"#NewYork Giants vs. Cowboys: Both teams playing for coaches https://t.co/QNe8vSSfWN https://t.co/dzcSwMJbf4"
"101",1,"@osrossbt Hola! I love you #NewYork #clubdenutricionherbalife #herbalifepresident'steam #herbalife24 https://t.co/TZHDYlx5OK"
"102",0,"#Iraq declares War with Islamic State is over.         https://t.co/79KdRTAIhI.  #NewYork #Manhattan #Brooklyn https://t.co/JbF7hdSRp4"
"103",0,"#NewYork is not the only place getting #snow this #weekend #marinadelrey #holiday #boat #parade #snowman #snowglobe https://t.co/ofaTvM7Rgh"
"104",-1,"#DougJones
@GDouglasJones

You might #GetAway with your #Extremist #LeftWing agenda
in
#NewYork or #California
but https://t.co/Y9YWrjN59t"
"105",0,"Those Christmas colors  


#christmasspirit #redwhitegreen #lilly #flowers #freshcut #flora #simplesmiles https://t.co/Q12pflfs8E"
"106",0,"Would YOU go up in a tiny, motorless #plane? Scaredy-cat V did!--&gt; https://t.co/RZoqLgDi3C #newyork #travel #lp https://t.co/5B6QO4wevD"
"107",1,"If you're looking for work in #NewYork, NY, check out this #job: https://t.co/Bu5VniTofd #ThinkGreen https://t.co/feuZu7Uz4q"
"108",1,"Want to work in #NewYork, NY? View our latest opening: https://t.co/LrpomHTQbb #Retail #Job #Jobs #Hiring"
"109",1,"EVERY person in #NewYork should be proud; the #CommanderInChiefTrophy is coming home!!!!
#GoArmy #HOOAH https://t.co/8U5IrKkUN4"
"110",-1,"Let It Snow! Parts of Region Could Get 6 Inches of Powder as Season's First Flakes Fall - NBC #NewYork https://t.co/BSNZSZ5x4K"
"111",2,"...Enjoy the tiny beautiful things in your life... #centralpark #newyork #nyc #manhattan #snow https://t.co/bShH06Y6AY"
"112",1,"Social Start Now constructs Marketing Campaigns that exceed expectations. https://t.co/bzjiz92lov #wsj #nytimes https://t.co/B7RTIo1AMH"
